mse,fidelity,hamming
0.039542786591534235,0.03635362151954205,0.29654891417378504
0.03661844029215801,0.03428720100754941,0.28643470916707214
0.03960267613645323,0.03702691011988919,0.2901750939332844
0.03705302398557618,0.032923747791684846,0.2618816682832201
0.03923110567614185,0.03635268254395504,0.28814382896015545
0.03992334485382854,0.03666571320104036,0.27215413102900976
0.03544355820437775,0.03304883660130452,0.27065184541573784
0.03670919916685061,0.033107072885751085,0.2825103255587949
0.04023407233836811,0.03668559698729504,0.2943743937924345
0.04092204459771867,0.038542644003887544,0.2810830598002849
0.042871508800777045,0.037702648599503584,0.2813431538712994
0.04369109477953142,0.03934180936225433,0.28384733457007516
0.04423768283554706,0.0411086280004096,0.2917511469046534
0.038800689035123,0.036216645683886516,0.2837706511175898
0.045406794603362555,0.04196740980553812,0.2905981077354633
0.03770448004613046,0.034040845154231926,0.2794713399188269
0.039319694024744875,0.03440339147282805,0.27485406226993137
0.04591107448399469,0.043072651022444716,0.2840571809885431
0.03922420453125415,0.035337835817521264,0.28515632399910573
0.04089523872671412,0.036505804503864106,0.2943276363437366
