index,mse,fidelity,hamming
0,0.12148834993225248,0.10789533083815227,0.3284742468415937
1,0.0016836105055898572,0.0015556694115692984,0.04268364300436468
2,0.02224683074356445,0.01553115283920033,0.22081712062256809
3,0.00777539914606596,0.005907323154901054,0.2097560975609757
4,0.20769368894765666,0.19286830084931356,0.518084066471163
5,0.17206899899539532,0.15751941740223172,0.39688715953307385
6,0.06514297147953799,0.05442069519636235,0.32101167315175094
7,0.0487499281321074,0.04508866062333817,0.1974708171206225
8,0.045815285339083925,0.04180589686075573,0.28862973760932925
9,0.003760489653638237,0.0019598869415137455,0.04483430799220273
10,0.055144320514131935,0.04416092916349085,0.29170731707317077
11,0.004750026711977103,0.003387021047378886,0.1002921129503408
12,0.07508634885764155,0.06620880390159686,0.2378640776699029
13,0.17000950190021155,0.15978191034223768,0.3871595330739299
14,0.2728510682286351,0.2563816775728733,0.5063414634146343
15,0.0021339570337245897,0.001786026296161707,0.07400194741966894
16,0.024753159450036977,0.021475938153802228,0.3317120622568093
17,0.013742547205546159,0.011428685528979089,0.15077821011673145
18,0.20795882461073564,0.18512812206610418,0.4408602150537633
19,0.028635817367959525,0.019510791852895865,0.26945525291828787
20,0.1251189031769346,0.10917034301152488,0.33040935672514615
21,0.044437227047043296,0.03819525044580459,0.14785992217898836
22,0.03251100840454246,0.027048110961914062,0.306640625
23,0.007139996366578033,0.004672050476074219,0.1064453125
24,0.0045829478675195115,0.0038810042910666213,0.13592233009708746
25,0.08850855741534024,0.08087073706095364,0.28612997090203685
26,0.08337932638850061,0.07193073008766927,0.2653061224489795
27,0.044671505262802,0.03641706434765468,0.23666343355965075
28,0.002280321619756776,0.001273344152631379,0.020453611854917227
29,0.012741806117552651,0.011269197908014285,0.1681243926141886
30,0.10262320861612494,0.09430688838078619,0.3070942662779397
31,0.010756937611601514,0.006657934793110362,0.05252918287937745
32,0.0038191298497714018,0.0025772859562193857,0.09286126130254152
33,0.007963843026997255,0.005502350227971608,0.2749510763209393
34,0.1556920289192312,0.13421058654785156,0.408203125
35,0.008303093090071333,0.006188392639160156,0.2275390625
36,0.1371182505727103,0.1327207832480844,0.31686046511627913
37,0.006266676570412796,0.004100070386414241,0.1292517006802721
38,0.010622407385131451,0.008087273772340104,0.14731707317073175
39,0.06403139621900081,0.04645489678574795,0.21553398058252438
40,0.023261495597148112,0.02045457852083895,0.2995121951219514
41,0.0024514694409150223,0.0022113514883611274,0.01664460394221352
42,0.004761163708116313,0.0032048048615286673,0.10331384015594541
43,0.03408252600771641,0.030729197440315922,0.2288218111002921
44,0.021750554600773984,0.020668106706319366,0.12755598831548187
45,0.002232701081885914,0.0014376566883080265,0.0038872691933916357
46,0.026809911539808967,0.022340774536132812,0.384765625
47,0.12777313879294216,0.12255029391992316,0.33138969873663715
48,0.10565683025754946,0.09329815742857576,0.3054474708171206
49,0.02214744529580208,0.020540613935281404,0.13910505836575873
50,0.023693044263719827,0.02196791979330804,0.2621832358674464
51,0.005144514461589171,0.00488180940779375,0.06629203216374269
52,0.0404281021961595,0.032957201855314554,0.2786407766990289
53,0.05877191176093658,0.051847773696795454,0.4208494208494208
54,0.018173640738883914,0.015024250594666142,0.22146341463414637
55,0.006900559829394533,0.005336917493577084,0.06997084548104955
56,0.08274347059791073,0.07426274564567052,0.2618816682832201
57,0.009228431567571735,0.007468642212367243,0.2563352826510721
58,0.18059249013536438,0.1636741268300222,0.5696078431372548
