x,mse
0.0,0.044247955029522744
0.02631578947368421,0.03511791623579109
0.05263157894736842,0.033366057065334916
0.07894736842105263,0.023849132253464196
0.10526315789473684,0.021674477186117792
0.13157894736842105,0.021300843539556382
0.15789473684210525,0.019022686471019658
0.18421052631578946,0.019292116841755066
0.21052631578947367,0.02234383821282855
0.23684210526315788,0.021482723287022606
0.2631578947368421,0.019879262988743464
0.2894736842105263,0.02872027212144089
0.3157894736842105,0.034450248152743404
0.3421052631578947,0.03786992513679696
0.3684210526315789,0.04912905130729987
0.39473684210526316,0.06254532183199567
0.42105263157894735,0.08483832219767098
0.4473684210526315,0.10429747200955877
0.47368421052631576,0.1305073630585465
0.5,0.16331533746179094
