mse,fidelity,hamming
0.044247955029522744,0.04152989051250076,0.3065416948860001
0.03511791623579109,0.03331107999673018,0.2652095090333543
0.033366057065334916,0.030777345013540767,0.2721518987341771
0.023849132253464196,0.021197928196417446,0.22752195573874323
0.021674477186117792,0.01838232537444255,0.1983593306863302
0.021300843539556382,0.016346184600612226,0.21039628272449093
0.019022686471019658,0.012827310199212854,0.18768529162633107
0.019292116841755066,0.012474393449974435,0.17250957563229571
0.02234383821282855,0.011157575831887685,0.1788496030202817
0.021482723287022606,0.00992873736549415,0.1575609756097561
0.019879262988743464,0.007397631904504617,0.12727242471211359
0.02872027212144089,0.008640258066030622,0.10014462316834519
0.034450248152743404,0.0104157057904503,0.08075751595730524
0.03786992513679696,0.011767377735178025,0.04240514806676757
0.04912905130729987,0.015823465458127874,-0.024357009189386568
0.06254532183199567,0.01599082657551771,-0.02447438070598032
0.08483832219767098,0.0206067630409225,-0.06753925496155087
0.10429747200955877,0.024070402972009883,-0.09491613051470588
0.1305073630585465,0.03598676970711223,-0.1484130617227436
0.16331533746179094,0.04258597347132369,-0.16879245553986438
